ENSP	VNG-ORF
Q9HR84	VNG0816G
Q9HR83	VNG0818C
Q9HR82	VNG0819C
Q9HR81	VNG0821C
Q9HR80	VNG0822C
Q9HR79	VNG0823G
Q9HR78	VNG0824G
Q9HR77	VNG0825C
Q9HR76	VNG0826C
Q9HR75	VNG0828H
Q9HR74	VNG0829G
Q9HR73	VNG0830G
Q9HR72	VNG0831G
Q9HR71	VNG0832C
Q9HR70	VNG0834C
Q9HR69	VNG0835G
Q9HR68	VNG0836H
Q9HR67	VNG0837H
Q9HR66	VNG0838G
Q9HR65	VNG0840H
Q9HR64	VNG0841G
Q9HR63	VNG0845C
Q9HR62	VNG0846C
Q9HR61	VNG0847H
Q9HR60	VNG0849C
Q9HR59	VNG0851C
Q9HR58	VNG0852C
Q9HR57	VNG0853C
Q9HR56	VNG0854C
Q9HR55	VNG0857C
Q9HR54	VNG0858C
RPOL_HALN1	VNG0860G
Q9HR51	VNG0861H
HIS6_HALN1	VNG0862G
Q9HR50	VNG0863H
PURL_HALN1	VNG0864G
Q9HR48	VNG0865C
Q9HR47	VNG0867G
Q9HR46	VNG0868H
TFB4_HALN1	VNG0869G
GATC_HALN1	VNG0870G
GATA_HALN1	VNG0872G
Q9HR42	VNG0873G
Q9HR41	VNG0874G
Q9HR40	VNG0875C
Q9HR39	VNG0876G
Q9HR38	VNG0878G
Y879_HALN1	VNG0879C
Q9HR36	VNG0880G
DNLI_HALN1	VNG0881G
Q9HR34	VNG0882G
Q9HR33	VNG0883H
TP6A_HALN1	VNG0884G
TP6B_HALN1	VNG0885G
Q9HR30	VNG0887G
Q9HR29	VNG0889G
Q9HR28	VNG0890G
Q9HR27	VNG0891G
Q9HR26	VNG0892H
Q9HR25	VNG0893G
Q9HR24	VNG0896G
Q9HR23	VNG0897G
Q9HR22	VNG0898G
Q9HR21	VNG0901G
Q9HR20	VNG0903C
Q9HR19	VNG0905G
Q9HR18	VNG0906H
Q9HR17	VNG0907H
Q9HR16	VNG0908G
Q9HR15	VNG0909H
Q9HR14	VNG0911H
Q9HR13	VNG0913H
Q9HR12	VNG0914H
Q9HR11	VNG0915G
Q9HR10	VNG0916G
Q9HR09	VNG0917G
O52011	VNG0918H
Q9HR08	VNG0919G
Q9HR07	VNG0920H
Q9HR06	VNG0921G
Q9HR05	VNG0923G
Q9HR04	VNG0924G
Q9HR03	VNG0925C
Q9HR02	VNG0926H
Q9HR01	VNG0927C
Q9HR00	VNG0928G
Q9HQZ9	VNG0930G
Q9HQZ8	VNG0931G
Q9HQZ7	VNG0932C
Q9HQZ6	VNG0933G
Q9HQZ5	VNG0934H
Q9HQZ4	VNG0935G
Q9HQZ3	VNG0936C
Q9HQZ2	VNG0937G
Q9HQZ1	VNG0938G
Q9HQZ0	VNG0940G
Q9HQY9	VNG0941C
Q9HQY8	VNG0942G
Q9HQY7	VNG0943C
Q9HQY6	VNG0945H
Q9HQY5	VNG0946G
Q9HQY4	VNG0947G
Q9HQY3	VNG0949G
Q9HQY2	VNG0950G
Q9HQY1	VNG0953C
Q9HQY0	VNG0954C
Q9HQX9	VNG0955G
Q9HQX8	VNG0958G
Q9HQX7	VNG0959H
FLA3_HALN1	VNG0960G
FLA4_HALN1	VNG0961G
Q9HQX4	VNG0962G
Q9HQX3	VNG0963G
Q9HQX2	VNG0964C
Q9HQX1	VNG0965C
Q9HQX0	VNG0966G
Q9HQW9	VNG0967G
Q9HQW8	VNG0969H
Q48298	VNG0970G
Q9HQW7	VNG0971G
CHEB_HALN1	VNG0973G
Q48299	VNG0974G
Q9HQW5	VNG0976G
Q9HQW4	VNG0978H
Q9HQW3	VNG0979H
Q9HQW2	VNG0981C
Q9HQW1	VNG0982C
Q9HQW0	VNG0983C
Q9HQV9	VNG0985H
Q9HQV8	VNG0986H
Q9HQV7	VNG0987H
Q9HQV6	VNG0988H
Q9HQV5	VNG0989C
Q9HQV4	VNG0990H
Q9HQV3	VNG0991H
Q9HQV2	VNG0992H
Q9HQV1	VNG0993H
Q9HI31	VNG0994H
Q9HQV0	VNG0995H
Q9HQU9	VNG0996G
Q9HQU8	VNG0997G
Q9HQU7	VNG0998G
Q9HQU6	VNG0999H
Q9HQU5	VNG1000H
Q9HQU4	VNG1001G
Q9HQU3	VNG1002H
Q9HQU2	VNG1003H
Q9HQU1	VNG1005H
Q9HQU0	VNG1006H
Q9HI31	VNG1007H
FLA1_HALN1	VNG1008G
Q9HQT8	VNG1009G
GC31_HALN1	VNG1011C
Q9HQT6	VNG1012H
Q9HQT5	VNG1013G
DPO4_HALN1	VNG1014G
Q9HQT3	VNG1015H
Q9HQT2	VNG1017H
Q9HQT1	VNG1018G
Q9HQT0	VNG1020C
GC32_HALN1	VNG1021C
Q9HQS8	VNG1023C
Q9HQS7	VNG1024C
Q9HQS6	VNG1025H
Q9HQS5	VNG1026H
TPIS_HALN1	VNG1027G
Q9HQS3	VNG1029C
Q9HQS2	VNG1030G
YA31_HALN1	VNG1031C
HIS8_HALN1	VNG1033G
Q9HQR9	VNG1034H
Q9HQR8	VNG1035C
Q9HQR7	VNG1036H
Q9HQR6	VNG1037G
Q9HQR5	VNG1038C
Q9HQR4	VNG1039H
Q9HQR3	VNG1041H
Q9HQR2	VNG1042H
Q9HQR0	VNG1046H
Q9HQR1	VNG1047H
Q9HQQ9	VNG1048G
Q9HQQ8	VNG1050H
Q9HQQ7	VNG1052H
Q9HQQ6	VNG1053G
Q9HQQ5	VNG1054G
Q9HQQ4	VNG1055G
Q9HQQ3	VNG1056C
Q9HQQ2	VNG1057C
Q9HQQ1	VNG1058H
Q9HQQ0	VNG1059C
Q9HQP9	VNG1060H
Q9HQP8	VNG1062G
Q9HQP7	VNG1063H
Q9HQP6	VNG1064H
Q9HQP5	VNG1065C
Q9HQP4	VNG1066C
Q9HQP3	VNG1067G
Q9HQP2	VNG1068G
Q9HQP1	VNG1069C
Q9HQP0	VNG1070G
Q9HQN9	VNG1071G
Q9HQN8	VNG1073G
Q9HQN7	VNG1074G
Q9HQN6	VNG1075G
Q9HQN5	VNG1077G
Q9HQN4	VNG1079G
Q9HQN3	VNG1081G
Q9HQN2	VNG1083G
Q9HQN1	VNG1084G
Q9HQN0	VNG1085H
Q9HQM9	VNG1086C
Q9HQM8	VNG1087C
Q9HQM7	VNG1088C
PURA_HALN1	VNG1089G
Q9HQM5	VNG1090H
Q9HQM4	VNG1092C
CBIX_HALN1	VNG1093C
Q9HQM2	VNG1094H
Q9HQM1	VNG1095H
Q9HQM0	VNG1096H
SYC_HALN1	VNG1097G
Q9HQL8	VNG1099C
Q9HQL7	VNG1100C
Q9HQL6	VNG1101C
RL12_HALN1	VNG1103G
RLA0_HALN1	VNG1104G
RL1_HALN1	VNG1105G
RL11_HALN1	VNG1108G
